date,symbol,open,high,low,close,volume
2022-06-15,DIA,287.56,291.12,283.99,287.95,99304
2022-06-16,DIA,282.49,282.77,279.49,281.13,55788
2022-06-17,DIA,280.36,283.29,278.92,280.77,50772
2022-06-21,DIA,284.85,287.78,284.4,286.93,28645
2022-06-22,DIA,283.29,289.02,283.29,286.73,58717
2022-06-23,DIA,287.37,288.49,284.71,288.42,25457
2022-06-24,DIA,290.72,295.95,290.54,295.94,42904
2022-06-27,DIA,296.67,296.75,294.68,295.34,22970
2022-06-28,DIA,297.35,299.45,290.65,290.76,30528
2022-06-29,DIA,291.36,292.48,290.34,291.32,20581
2022-06-30,DIA,288.56,290.98,286.17,289.55,45562
2022-07-01,DIA,289.04,292.49,286.6,292.12,24971
2022-07-05,DIA,288.17,290.94,285.51,290.94,35423
2022-07-06,DIA,291.43,293.34,289.45,291.63,27942
2022-07-07,DIA,293.92,295.22,292.88,294.98,19181
2022-07-08,DIA,294.63,296.01,293.77,294.4,11213
2022-07-11,DIA,293.11,294.65,292.53,292.97,23213
2022-07-12,DIA,292.4,294.54,290.17,291.29,31044
2022-07-13,DIA,287.75,290.69,287.11,289.27,29731
2022-07-14,DIA,284.39,288.33,283.4,287.9,38463
2022-07-15,DIA,292.15,294.06,290.74,294.04,27353
2022-07-18,DIA,296.91,297.36,291.24,292.14,34933
2022-07-19,DIA,294.47,299.34,294.04,299.26,46632
2022-07-20,DIA,298.94,300.14,297.88,299.62,15003
2022-07-21,DIA,298.54,301.22,296.67,301.18,11732
2022-07-22,DIA,302.81,302.82,298.39,300.01,21251
2022-07-25,DIA,300.98,301.15,299.36,300.86,15012
2022-07-26,DIA,299.75,300.3,298.29,298.69,15616
2022-07-27,DIA,300.04,304.02,299.17,302.75,35894
2022-07-28,DIA,303.18,306.47,300.98,305.77,21365
2022-07-29,DIA,305.95,309.45,305.51,308.99,35746
2022-08-01,DIA,307.33,309.62,307.33,308.48,17777
2022-08-02,DIA,307.32,308.01,304.64,304.67,51102
2022-08-03,DIA,306.33,309.32,305.96,308.49,19245
2022-08-04,DIA,308.22,308.66,307.34,307.58,17832
2022-08-05,DIA,305.63,308.55,305.56,308.54,15535
2022-08-08,DIA,310.13,311.17,308.18,308.79,27155
2022-08-09,DIA,308.52,309.17,307.65,308.25,7273
2022-08-10,DIA,312.78,313.85,312.33,313.23,39504
2022-08-11,DIA,315.87,316.35,313.34,313.59,12405
