date,symbol,open,high,low,close,volume
2022-03-11,MSFT,279.72,280.0,270.93,271.53,686139
2022-03-14,MSFT,271.77,276.63,267.41,267.87,1307513
2022-03-15,MSFT,272.07,279.05,270.23,278.42,924523
2022-03-16,MSFT,280.47,285.56,274.58,285.54,885648
2022-03-17,MSFT,284.23,286.39,280.58,286.22,568359
2022-03-18,MSFT,285.38,291.78,283.85,291.69,605022
2022-03-21,MSFT,289.83,290.87,285.94,290.07,677499
2022-03-22,MSFT,290.53,295.64,289.68,294.87,613860
2022-03-23,MSFT,291.37,293.99,288.66,290.25,552451
2022-03-24,MSFT,290.45,294.91,289.25,294.9,539556
2022-03-25,MSFT,295.98,296.17,290.25,294.43,529154
2022-03-28,MSFT,295.25,301.25,295.25,301.25,590296
2022-03-29,MSFT,304.41,306.17,299.78,305.8,676681
2022-03-30,MSFT,304.11,306.29,302.09,304.44,454783
2022-03-31,MSFT,304.54,305.53,298.96,298.96,628677
2022-04-01,MSFT,299.99,300.65,296.26,300.01,491924
2022-04-04,MSFT,300.88,305.5,300.32,305.46,482121
2022-04-05,MSFT,303.82,305.22,300.42,301.6,549063
2022-04-06,MSFT,295.81,297.44,287.71,290.33,1098251
2022-04-07,MSFT,287.4,294.36,287.38,292.43,604618
2022-04-08,MSFT,291.08,291.88,287.26,287.86,441284
2022-04-11,MSFT,282.63,283.59,276.32,276.56,754322
2022-04-12,MSFT,280.42,281.78,271.96,273.48,913836
2022-04-13,MSFT,273.85,279.74,272.92,278.82,483525
2022-04-14,MSFT,279.1,279.35,270.82,271.14,592927
2022-04-18,MSFT,270.58,273.77,269.87,271.98,523124
2022-04-19,MSFT,271.03,277.43,269.97,276.81,510916
2022-04-20,MSFT,280.72,280.84,276.69,277.67,495873
2022-04-21,MSFT,279.75,284.34,271.64,272.37,956514
2022-04-22,MSFT,273.06,274.56,265.11,265.66,616846
2022-04-25,MSFT,264.76,272.5,262.54,272.18,897209
2022-04-26,MSFT,268.77,269.83,261.79,261.9,1576805
2022-04-27,MSFT,273.63,282.06,270.67,274.58,2261088
2022-04-28,MSFT,276.51,282.11,272.98,280.96,744991
2022-04-29,MSFT,279.8,280.96,268.09,269.13,747113
2022-05-02,MSFT,269.45,276.16,267.91,275.67,1144608
2022-05-03,MSFT,275.2,275.46,271.64,273.21,537458
2022-05-04,MSFT,274.07,281.97,268.33,281.11,782738
2022-05-05,MSFT,276.61,277.59,266.02,269.04,1214277
2022-05-06,MSFT,266.45,270.71,263.09,266.39,940201
2022-05-09,MSFT,261.88,264.03,255.3,256.69,946958
2022-05-10,MSFT,263.47,265.35,257.02,261.25,889464
2022-05-11,MSFT,257.76,263.0,251.41,252.76,865752
2022-05-12,MSFT,249.42,251.91,242.46,247.76,1182993
2022-05-13,MSFT,249.5,255.01,247.58,253.16,952061
2022-05-16,MSFT,251.86,257.65,248.02,253.57,867318
2022-05-17,MSFT,258.26,260.05,254.47,258.73,718551
2022-05-18,MSFT,255.47,256.07,245.93,247.16,749254
2022-05-19,MSFT,246.43,250.35,244.82,246.0,1096220
2022-05-20,MSFT,249.73,251.23,239.53,245.57,746469
2022-05-23,MSFT,248.47,254.12,246.37,253.04,591211
2022-05-24,MSFT,250.53,253.86,246.45,252.79,1139284
2022-05-25,MSFT,251.04,257.13,249.92,255.27,962912
2022-05-26,MSFT,254.9,259.49,254.15,258.31,603938
2022-05-27,MSFT,261.12,265.64,260.09,265.62,584026
2022-05-31,MSFT,264.91,267.04,261.45,264.12,904003
2022-06-01,MSFT,267.55,269.86,262.48,264.77,655267
2022-06-02,MSFT,256.96,266.9,254.32,266.9,1342589
2022-06-03,MSFT,262.24,265.7,260.87,262.49,739716
2022-06-06,MSFT,264.4,266.42,259.76,261.1,486635
2022-06-07,MSFT,258.85,265.35,258.6,264.61,558830
2022-06-08,MSFT,264.17,265.3,262.03,262.84,534465
2022-06-09,MSFT,260.13,264.98,257.26,257.26,796977
2022-06-10,MSFT,253.25,253.25,245.78,245.78,1030810
2022-06-13,MSFT,238.13,241.78,234.76,235.65,1319216
2022-06-14,MSFT,236.86,238.83,234.8,237.77,711344
2022-06-15,MSFT,241.3,248.09,239.51,244.41,828413
2022-06-16,MSFT,239.08,240.43,236.2,238.3,935332
2022-06-17,MSFT,237.85,243.42,237.21,240.65,1086151
2022-06-21,MSFT,243.27,247.59,242.53,246.59,962341
2022-06-22,MSFT,244.28,249.92,243.39,245.8,809805
2022-06-23,MSFT,248.37,252.05,246.53,251.62,962270
2022-06-24,MSFT,254.42,260.44,254.41,260.44,1094393
2022-06-27,MSFT,260.62,260.74,255.89,257.38,634728
2022-06-28,MSFT,256.46,259.37,249.15,249.38,800846
2022-06-29,MSFT,249.78,254.59,248.63,252.95,604659
2022-06-30,MSFT,249.86,252.19,245.8,249.68,1013993
2022-07-01,MSFT,248.94,252.43,247.45,252.21,832292
2022-07-05,MSFT,248.98,255.52,247.61,255.51,654134
2022-07-06,MSFT,256.32,260.42,255.06,258.73,839313
2022-07-07,MSFT,257.72,261.49,257.6,260.57,544109
2022-07-08,MSFT,257.41,260.5,255.93,260.07,522887
2022-07-11,MSFT,258.09,259.04,254.89,257.13,402561
2022-07-12,MSFT,258.35,258.35,244.96,246.59,1340765
2022-07-13,MSFT,242.5,246.39,241.37,245.55,908622
2022-07-14,MSFT,243.18,247.94,239.02,246.93,581095
2022-07-15,MSFT,248.67,253.01,247.62,249.64,809257
2022-07-18,MSFT,252.37,253.49,246.24,247.09,900257
2022-07-19,MSFT,250.4,252.38,246.57,251.99,822224
2022-07-20,MSFT,252.75,257.41,251.63,254.88,655944
2022-07-21,MSFT,252.55,257.43,249.81,257.43,686708
2022-07-22,MSFT,257.74,257.76,251.78,252.96,670098
2022-07-25,MSFT,253.66,254.09,249.67,251.54,558242
2022-07-26,MSFT,252.47,252.47,242.56,244.57,1296879
2022-07-27,MSFT,253.74,262.18,251.62,261.09,1750738
2022-07-28,MSFT,262.19,269.99,260.41,268.64,1100881
2022-07-29,MSFT,269.89,273.92,268.92,272.89,900927
2022-08-01,MSFT,269.99,273.34,268.1,270.2,450996
2022-08-02,MSFT,267.8,270.07,264.93,267.19,518031
2022-08-03,MSFT,269.14,275.49,268.98,274.52,605042
2022-08-04,MSFT,273.91,275.78,272.4,275.65,346680
2022-08-05,MSFT,271.06,275.64,270.85,274.91,383104
2022-08-08,MSFT,276.13,277.81,271.5,272.51,374633
2022-08-09,MSFT,271.48,275.11,269.8,274.45,558744
2022-08-10,MSFT,280.85,281.5,278.95,281.01,797435
2022-08-11,MSFT,282.87,282.96,278.47,279.06,580534
2022-08-12,MSFT,280.5,283.67,278.9,283.58,539388
2022-08-15,MSFT,282.85,285.9,282.0,285.23,393993
2022-08-16,MSFT,283.53,285.7,282.25,284.54,469171
2022-08-17,MSFT,282.17,285.67,281.96,283.78,520106
2022-08-18,MSFT,282.72,284.21,281.6,282.71,428774
2022-08-19,MSFT,280.99,281.67,278.17,278.7,424877
2022-08-22,MSFT,274.73,274.99,270.0,270.8,434141
2022-08-23,MSFT,269.3,271.5,268.24,269.23,432645
2022-08-24,MSFT,268.49,269.98,268.08,268.77,411906
2022-08-25,MSFT,270.2,271.71,267.41,271.71,400411
2022-08-26,MSFT,271.81,273.02,261.08,261.15,458106
2022-08-29,MSFT,258.72,260.31,257.01,258.45,518876
2022-08-30,MSFT,259.76,260.02,253.89,256.09,627780
2022-08-31,MSFT,258.0,260.13,254.56,254.56,495659
2022-09-01,MSFT,252.16,254.03,248.79,253.68,568041
2022-09-02,MSFT,254.84,257.77,247.86,249.43,416660
2022-09-06,MSFT,249.56,250.96,245.4,246.78,492929
2022-09-07,MSFT,248.15,252.07,246.7,251.31,540030
2022-09-08,MSFT,250.36,253.55,248.21,251.79,382274
2022-09-09,MSFT,253.63,258.26,253.63,257.54,527666
2022-09-12,MSFT,258.52,260.44,258.29,259.7,357501
2022-09-13,MSFT,251.82,253.62,245.08,245.45,674560
2022-09-14,MSFT,246.82,247.53,243.38,245.67,579073
2022-09-15,MSFT,243.56,244.82,237.68,239.06,674051
2022-09-16,MSFT,237.86,238.89,235.76,238.18,606900
2022-09-19,MSFT,235.89,238.75,234.7,238.21,503037
2022-09-20,MSFT,235.64,237.15,233.42,236.13,616448
2022-09-21,MSFT,237.84,241.19,232.7,232.72,561122
2022-09-22,MSFT,231.43,237.3,231.39,234.47,811042
2022-09-23,MSFT,232.62,234.8,229.07,231.76,523914
2022-09-26,MSFT,231.22,235.15,230.77,231.28,477575
2022-09-27,MSFT,233.64,235.46,228.39,230.25,536240
2022-09-28,MSFT,230.56,236.02,228.68,234.76,893149
2022-09-29,MSFT,232.53,233.68,228.33,231.33,842772
2022-09-30,MSFT,231.91,234.26,226.74,226.74,852793
